Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
12/31/2007,23.66,27.22,25.85,23.83,63.42,0.1,104.19,-20.03,18014143394,0.37,0.87,-33695588,10473374289,92,28.33
1/2/2008,23.2,27.28,25.93,23.91,58.36,0.04,61.21,-33.33,17744498411,0.37,0.89,-124845626.9,10363881491,84,28.27
1/3/2008,23.21,27.33,26,23.98,58.46,0,43.22,-32.96,17954823464,0.37,0.88,2713193.2,10354047949,84,28.18
1/4/2008,21.08,27.18,25.99,24.02,41.05,-0.17,-118.92,-94.05,17591085703,0.36,0.98,-773451974.3,10050094295,80,27.73
1/7/2008,20.74,27.01,25.97,24.05,39.03,-0.29,-184.88,-77.36,17073307488,0.32,1.04,-178271039.6,10106276145,-24,27.29
1/8/2008,19.83,26.77,25.91,24.05,34.21,-0.42,-175.71,-96.88,16692709062,0.27,1.09,-347562482.1,9755052919,-24,26.77
1/9/2008,20.99,26.66,25.9,24.09,43.75,-0.41,-138.63,-67.97,17146307495,0.22,1.12,528306094.3,10200545812,-32,26.54
1/10/2008,20.79,26.54,25.88,24.11,42.62,-0.39,-99.72,-71.96,16775790161,0.17,1.1,-73066018.2,10176054932,-32,26.21
1/11/2008,20.03,26.37,25.83,24.12,38.5,-0.41,-122.45,-87.33,16467911938,0.11,1.1,-234510842.1,10079174015,-32,25.78
1/14/2008,20.9,26.29,25.82,24.15,45.04,-0.35,-78.16,-69.76,16742739342,0.06,1.09,239182289.5,10271277148,-32,25.59
1/15/2008,19.51,26.08,25.76,24.15,38.07,-0.38,-118.9,-88.56,16155803359,0.01,1.16,-816956195,10037473177,-48,25.12
1/16/2008,18.17,25.77,25.64,24.13,32.79,-0.47,-160.29,-93.64,15601983835,-0.06,1.21,-743890384.8,9748237774,-52,24.34
1/17/2008,18.35,25.51,25.54,24.1,34.09,-0.49,-140.6,-90.66,16041638348,-0.12,1.19,78522296.1,9621577197,-52,23.62
1/18/2008,18.41,25.27,25.44,24.08,34.61,-0.46,-118.62,-89.36,16472403576,-0.19,1.17,28904346.8,9436290216,-52,22.97
1/22/2008,17.6,24.99,25.31,24.05,31.39,-0.47,-143.04,-82.23,15865005395,-0.25,1.24,-496426533,9666607142,-64,22.27
1/23/2008,15.23,24.5,25.1,23.96,24.33,-0.6,-206.46,-81.85,15022185136,-0.34,1.46,-1995461245,10396574764,-68,21.28
1/24/2008,14.73,24.01,24.88,23.87,23.16,-0.68,-175.46,-85.85,14521046739,-0.43,1.44,-248664872.8,10309486935,-68,20.4
1/25/2008,13.94,23.49,24.63,23.77,21.37,-0.73,-160.53,-93.27,14132572225,-0.53,1.43,-310313441.5,9953760476,-68,19.5
1/28/2008,13.94,23.03,24.39,23.66,21.37,-0.72,-146.78,-93.13,14132572225,-0.64,1.4,0,9973929937,-68,18.75
1/29/2008,14.15,22.62,24.17,23.57,23.25,-0.65,-124.35,-90.16,14404727026,-0.74,1.34,59520254.9,10064206918,-68,18.22
1/30/2008,14.25,22.27,23.97,23.48,24.07,-0.55,-107.21,-88.99,14715318118,-0.82,1.3,28388025.8,10002072747,-68,17.83
1/31/2008,14.7,21.99,23.78,23.39,28.17,-0.42,-90.01,-82.7,15051523548,-0.9,1.28,152771747.6,10218594237,-68,17.63
2/1/2008,14.47,21.71,23.6,23.31,27.36,-0.32,-78.89,-85.72,14798973891,-0.96,1.23,-58086421.1,10145899048,-68,17.52
2/4/2008,14.17,21.44,23.41,23.22,26.31,-0.24,-74.77,-89.62,14574288006,-1.01,1.19,-67428234.2,9944306464,-68,17.24
2/5/2008,13.84,21.16,23.22,23.13,25.16,-0.18,-74.72,-92.49,14289255731,-1.06,1.16,-93291063.4,9710664476,-64,16.96
2/6/2008,12.79,20.8,22.99,23.01,21.88,-0.19,-86.69,-99.48,13896248936,-1.11,1.18,-413325246.3,9335485911,-100,16.48
2/7/2008,12.68,20.47,22.77,22.9,21.57,-0.17,-94.75,-91.81,13375357733,-1.15,1.17,-56568784.7,9365287178,-100,16.22
2/8/2008,13.29,20.23,22.58,22.8,27.78,-0.1,-78.36,-80.78,13714166963,-1.18,1.13,205284512.6,9667780963,-96,16.19
2/11/2008,13.86,20.06,22.42,22.72,33.12,0.01,-55.79,-48.02,14014341672,-1.2,1.1,170289112.7,9853538625,-92,16.3
2/12/2008,13.2,19.85,22.24,22.62,30.33,0.05,-66.07,-67.61,13708148209,-1.21,1.1,-200832293,9650241960,-88,16.49
2/13/2008,13.85,19.72,22.09,22.54,36.07,0.13,-55.4,-44.41,13950000476,-1.21,1.07,156913751,9847809695,-84,16.76
2/14/2008,13.57,19.58,21.94,22.45,34.75,0.17,-52.87,-47.42,13711584416,-1.2,1.03,-66112773.5,9666004242,-76,16.91
2/15/2008,13.17,19.41,21.78,22.36,32.86,0.18,-82.62,-62.02,13486376242,-1.19,0.99,-91074185.4,9525764529,-76,17.07
2/19/2008,12.82,19.23,21.61,22.26,31.28,0.17,-105.3,-74.67,13235288488,-1.18,0.97,-87905822.6,9344629268,-68,17.25
2/20/2008,13.05,19.08,21.46,22.17,33.59,0.19,-104.3,-66.2,13476923842,-1.16,0.93,56639326.8,9457222539,-68,17.48
2/21/2008,12.73,18.92,21.3,22.08,31.98,0.18,-101.17,-77.9,13242536116,-1.14,0.92,-76363521,9279670255,-64,17.43
2/22/2008,12.43,18.74,21.13,21.98,30.54,0.16,-147.1,-82.08,12860339461,-1.12,0.93,-113627065.5,9310724489,-100,17.31
2/25/2008,12.47,18.59,20.97,21.88,30.99,0.16,-135.62,-78.66,13174374990,-1.1,0.9,12561421.1,9547661474,-92,17.14
2/26/2008,12.38,18.44,20.82,21.79,30.54,0.16,-124.18,-77.49,12798342386,-1.08,0.89,-31699548.5,9665398707,-100,16.98
2/27/2008,12.93,18.35,20.69,21.7,36.89,0.2,-73,-51.67,13166644563,-1.06,0.88,200540535,10020396897,-96,16.97
2/28/2008,13.92,18.37,20.61,21.64,46.5,0.29,56.83,-13.67,13570875255,-1.02,0.91,401441501,10136664360,-88,17.2
2/29/2008,13.22,18.33,20.5,21.57,41.69,0.3,21.76,-42.84,13257161868,-0.97,0.9,-219191543.5,9848515510,-88,17.34
3/3/2008,12.75,18.24,20.38,21.48,38.78,0.27,-58.87,-62.47,12858877677,-0.93,0.92,-187273227,9822563992,-84,17.38
3/4/2008,13.17,18.2,20.28,21.41,42.57,0.28,-24.23,-45.23,13305054934,-0.88,0.9,184271207.1,10216889347,-68,17.5
3/5/2008,13.15,18.16,20.18,21.34,42.44,0.28,-2.13,-46,12999737285,-0.84,0.86,-5678908.3,10384851017,-68,17.6
3/6/2008,12.64,18.07,20.07,21.26,39.01,0.24,-21.9,-67.24,12631461959,-0.79,0.87,-187341658,10029826053,-68,17.48
3/7/2008,12.83,18.02,19.96,21.18,40.92,0.22,-64.96,-59.37,12939014213,-0.75,0.85,58004355,10223141483,-68,17.39
3/10/2008,12.46,17.93,19.85,21.1,38.4,0.19,-72.67,-74.64,12688961344,-0.72,0.83,-91469339.5,10012196815,-64,17.29
3/11/2008,13.56,17.96,19.79,21.05,48.58,0.23,53.03,-28.94,12980167579,-0.67,0.85,318754345,10289569731,-60,17.49
3/12/2008,13.37,17.96,19.72,20.99,47.13,0.25,79.68,-36.81,12715384297,-0.63,0.82,-49938127,10154538703,-56,17.58
3/13/2008,13.64,17.99,19.66,20.93,49.47,0.27,89.69,-25.42,13031281449,-0.58,0.83,86208332.7,10318761692,8,17.8
3/14/2008,13.45,18,19.6,20.88,47.88,0.26,101.21,-33.35,12742183919,-0.52,0.83,-54928530.7,10258103280,8,17.95
3/17/2008,13.47,18.01,19.54,20.82,48.05,0.25,68.22,-38.52,13010173765,-0.48,0.84,4582626.4,10361032991,8,18.06
3/18/2008,14.34,18.1,19.52,20.78,55.6,0.29,179.2,-1.21,13311306648,-0.42,0.84,262075948.2,10636966063,60,18.3
3/19/2008,13.89,18.14,19.48,20.74,51.43,0.28,144.11,-28.36,13058748216,-0.36,0.83,-113701806.3,10384407630,64,18.46
3/20/2008,14.4,18.23,19.46,20.71,55.54,0.29,136.14,-6.26,13285787446,-0.31,0.81,116811684,10609051280,64,18.66
3/24/2008,15.3,18.39,19.48,20.69,61.61,0.35,215.61,-6.06,13552502589,-0.24,0.83,238576695.8,10778068379,72,18.98
3/25/2008,15.5,18.56,19.51,20.68,62.87,0.38,217.23,-8.82,13815565192,-0.16,0.83,54506571.4,10847782362,76,19.31
3/26/2008,16.09,18.77,19.56,20.68,66.24,0.42,210.63,-2.55,14110960651,-0.08,0.82,172245091.8,11064454343,80,19.69
3/27/2008,15.4,18.89,19.58,20.67,59.4,0.38,153.47,-20.57,13861098992,-0.01,0.82,-171754904.1,10838980654,80,19.94
3/28/2008,15.79,19.04,19.61,20.66,61.83,0.36,139.28,-10.35,14039768481,0.07,0.8,70467246.5,10825495391,80,20.34
3/31/2008,15.86,19.18,19.64,20.66,62.27,0.33,126.22,-9.43,14231682953,0.13,0.78,13453204.5,10751533179,80,20.65
4/1/2008,16.72,19.38,19.71,20.67,67.2,0.35,138.73,-0.48,14489659937,0.21,0.79,222298767,10998468927,96,21.04
4/2/2008,16.43,19.55,19.77,20.68,64.14,0.32,122.6,-12.95,14228583184,0.27,0.79,-76129981.2,10897419076,100,21.35
4/3/2008,17.02,19.75,19.84,20.7,67.37,0.32,124.18,-6.5,14491424675,0.34,0.8,154761069.6,11000125345,88,21.72
4/4/2008,17.23,19.95,19.92,20.73,68.46,0.32,123.92,-5.08,14705016319,0.4,0.78,44854245.3,11037520847,92,22.02
4/7/2008,17.63,20.17,20.01,20.76,70.49,0.32,138.46,-12.25,14994663506,0.46,0.79,116322310.2,10846561701,96,22.35
4/8/2008,17.2,20.33,20.08,20.78,65.56,0.27,107.32,-22.45,14741052764,0.52,0.78,-110548922.3,10656804833,96,22.47
4/9/2008,17,20.46,20.14,20.79,63.37,0.21,86.06,-27.04,14522702554,0.56,0.76,-43670042,10563264351,80,22.6
4/10/2008,17.44,20.61,20.22,20.82,66.08,0.18,91.25,-19.73,14761677299,0.59,0.75,106200376.5,10715988919,80,22.75
4/11/2008,16.38,20.65,20.25,20.82,55.53,0.08,49.77,-56.13,14459452036,0.61,0.78,-320026330.4,10478561243,80,22.65
4/14/2008,16.47,20.69,20.29,20.83,56.18,0.01,28.74,-60.46,14670674101,0.61,0.77,19326818.9,10557965675,80,22.5
4/15/2008,16.56,20.74,20.32,20.84,56.82,-0.04,28.84,-57.41,14844962064,0.61,0.76,14936478.5,10615472165,76,22.33
4/16/2008,17.32,20.86,20.39,20.86,62.09,-0.02,76.43,-33.11,15043784996,0.6,0.76,151145193,10768557427,72,22.36
4/17/2008,17.43,20.98,20.45,20.88,62.81,-0.01,95.1,-30.29,15219953212,0.6,0.74,19889391.5,10743948769,56,22.31
4/18/2008,18.37,21.17,20.55,20.93,68.24,0.05,163.62,-6.54,15476520343,0.6,0.76,240146834.5,10839126152,92,22.45
4/21/2008,19.39,21.44,20.69,20.99,72.88,0.14,208.61,-1.42,15736182022,0.62,0.78,264205758.9,11072635633,96,22.84
4/22/2008,18.25,21.58,20.78,21.03,61.99,0.12,139.44,-34.64,15376545598,0.63,0.83,-409086432.4,10866138651,96,22.96
4/23/2008,18.63,21.74,20.87,21.07,63.95,0.11,134.12,-23.41,15751883478,0.65,0.82,144279880.9,10852237248,92,23.18
4/24/2008,19.5,21.97,21,21.13,67.95,0.15,152.49,-4.09,16176017215,0.67,0.87,366663615.5,11194587719,96,23.46
4/25/2008,19.61,22.19,21.13,21.19,68.44,0.16,158.99,-5.16,16424016732,0.69,0.86,27999145.5,11297376993,100,23.73
4/28/2008,19.97,22.42,21.27,21.26,70.02,0.18,157.72,-5.17,16620718579,0.71,0.84,70556952.7,11365486721,100,24.03
4/29/2008,20.37,22.67,21.41,21.33,71.73,0.2,149.75,-1.96,16851471155,0.74,0.84,92647159,11544184906,100,24.44
4/30/2008,20.21,22.87,21.55,21.4,70.05,0.18,143.88,-17.06,16566756956,0.76,0.85,-44728600.6,11342321216,96,24.73
5/1/2008,21.08,23.15,21.71,21.49,73.69,0.2,144.58,0,16792488425,0.78,0.85,195144855.4,11568052686,96,25.2
5/2/2008,21.21,23.4,21.87,21.58,74.22,0.21,140.67,-2.71,17043882393,0.81,0.82,33762209.9,11673182970,100,25.66
5/5/2008,21.75,23.69,22.05,21.67,76.28,0.22,141.57,-1.67,17257311351,0.84,0.81,115593123.3,11828486893,100,26.21
5/6/2008,22.03,23.97,22.23,21.77,77.27,0.23,132.98,-1.36,17486916410,0.87,0.8,63325075.4,12015352039,100,26.7
5/7/2008,21.45,24.18,22.38,21.86,70.55,0.17,110.8,-18.63,17197834934,0.89,0.82,-168129786.8,11880979067,68,26.97
5/8/2008,21.8,24.39,22.54,21.95,72.14,0.13,104.89,-10.43,17422484542,0.91,0.8,79301311.7,11917053183,68,27.3
5/9/2008,21.57,24.57,22.69,22.03,69.51,0.08,85.5,-15.78,17254311309,0.91,0.78,-38696660.9,11991801383,68,27.39
5/12/2008,22.24,24.79,22.85,22.13,72.65,0.07,100.13,-2.39,17459020728,0.92,0.79,137789910,12148248688,80,27.54
5/13/2008,22.5,25.01,23.02,22.23,73.76,0.07,112.5,-4.62,17664410455,0.92,0.77,52826237.8,12183160938,84,27.66
5/14/2008,21.97,25.16,23.16,22.31,67.68,0.01,93.09,-23.16,17435330882,0.92,0.78,-121114370.3,12001478797,88,27.67
5/15/2008,22.47,25.35,23.32,22.41,70.16,0,85.97,-10.86,17653497537,0.91,0.79,108167027.6,12206627773,88,27.72
5/16/2008,22.17,25.49,23.45,22.5,66.8,-0.04,83.06,-21.01,17462141246,0.9,0.76,-57693921.8,12087172107,88,27.74
5/19/2008,21.59,25.56,23.56,22.57,60.82,-0.12,46.66,-44.72,17225667915,0.87,0.78,-135853928.7,11997867595,88,27.7
5/20/2008,21.92,25.66,23.68,22.65,62.87,-0.15,37.45,-36.48,17468020490,0.84,0.79,79661291.5,12219331579,84,27.56
5/21/2008,20.82,25.64,23.75,22.71,52.89,-0.24,-5.71,-87.86,17178753037,0.8,0.85,-318685952.7,12025608007,80,27.18
5/22/2008,20.66,25.61,23.81,22.76,51.58,-0.31,-69.62,-75.05,16877136046,0.75,0.89,-49163569.5,12050469409,76,26.84
5/23/2008,21.24,25.63,23.89,22.82,55.82,-0.31,-33.2,-54.69,17104069762,0.7,0.87,133618571.9,12188570020,64,26.61
5/27/2008,22,25.73,24,22.89,60.57,-0.25,35.09,-28.71,17301418188,0.66,0.87,148327076.6,12385918446,64,26.55
5/28/2008,22.08,25.82,24.11,22.97,61.07,-0.21,56.19,-25.84,17487319097,0.62,0.85,15411185.4,12489155725,64,26.52
5/29/2008,22.03,25.9,24.21,23.04,60.61,-0.18,63.9,-27.42,17325603128,0.58,0.81,-7390419.8,12469957717,56,26.43
5/30/2008,22.33,26.01,24.32,23.12,62.54,-0.15,101.01,-17.24,17478047915,0.55,0.79,44879745.2,12510896081,56,26.48
