Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
12/31/2007,23.66,-3.56,-2.19,-0.17,-33.42,0.1,4.19,20.03,18014143394,0.37,0.87,-221510207.1,10269534834,12,28.33
1/2/2008,23.2,-4.08,-2.73,-0.71,-28.36,0.04,-38.79,33.33,17744498411,0.37,0.89,-221510207.1,10269534834,4,28.27
1/3/2008,23.21,-4.12,-2.79,-0.77,-28.46,0,-56.78,32.96,17954823464,0.37,0.88,-221510207.1,10269534834,4,28.18
1/4/2008,21.08,-6.1,-4.91,-2.94,-11.05,-0.17,-218.92,94.05,17591085703,0.36,0.98,-221510207.1,10269534834,0,27.73
1/7/2008,20.74,-6.27,-5.23,-3.31,-9.03,-0.29,-284.88,77.36,17675571692,0.32,1.04,-221510207.1,10269534834,-104,27.29
1/8/2008,19.83,-6.94,-6.08,-4.22,-4.21,-0.42,-275.71,96.88,17411284826,0.27,1.09,-284283585.9,10125870560,-104,26.77
1/9/2008,20.99,-5.67,-4.91,-3.1,-13.75,-0.41,-238.63,67.97,17291646642,0.22,1.12,-153653241.7,10093203424,-112,26.54
1/10/2008,20.79,-5.75,-5.09,-3.32,-12.62,-0.39,-199.72,71.96,17055839982,0.17,1.1,-168809084,10057604821,-112,26.21
1/11/2008,20.03,-6.34,-5.8,-4.09,-8.5,-0.41,-222.45,87.33,16831205229,0.11,1.1,-61020857.54,10063420765,-112,25.78
1/14/2008,20.9,-5.39,-4.92,-3.25,-15.04,-0.35,-178.16,69.76,16765091600,0.06,1.09,22469808.28,10096420965,-112,25.59
1/15/2008,19.51,-6.57,-6.25,-4.64,-8.07,-0.38,-218.9,88.56,16657710459,0.01,1.16,-71408934.3,10152905017,-128,25.12
1/16/2008,18.17,-7.6,-7.47,-5.96,-2.79,-0.47,-260.29,93.64,16348845727,-0.06,1.21,-325848230.1,10062443409,-132,24.34
1/17/2008,18.35,-7.16,-7.19,-5.75,-4.09,-0.49,-240.6,90.66,16202015364,-0.12,1.19,-295530567.3,9951547862,-132,23.62
1/18/2008,18.41,-6.86,-7.03,-5.67,-4.61,-0.46,-218.62,89.36,16202913692,-0.19,1.17,-242847529.5,9822971102,-132,22.97
1/22/2008,17.6,-7.39,-7.71,-6.45,-1.39,-0.47,-243.04,82.23,16027366903,-0.25,1.24,-389969294,9702037101,-144,22.27
1/23/2008,15.23,-9.27,-9.87,-8.73,5.67,-0.6,-306.46,81.85,15800643258,-0.34,1.46,-625670304,9773857419,-148,21.28
1/24/2008,14.73,-9.28,-10.15,-9.14,6.84,-0.68,-275.46,85.85,15584455839,-0.43,1.44,-526625201.6,9886107251,-148,20.4
1/25/2008,13.94,-9.55,-10.69,-9.83,8.63,-0.73,-260.53,93.27,15202642614,-0.53,1.43,-604392349.1,9952543907,-148,19.5
1/28/2008,13.94,-9.09,-10.45,-9.72,8.63,-0.72,-246.78,93.13,14734676344,-0.64,1.4,-610173218.5,10060071851,-148,18.75
1/29/2008,14.15,-8.47,-10.02,-9.42,6.75,-0.65,-224.35,90.16,14442620670,-0.74,1.34,-498983860.9,10139591806,-148,18.22
1/30/2008,14.25,-8.02,-9.72,-9.23,5.93,-0.55,-207.21,88.99,14381247267,-0.82,1.3,-94214006.72,10060691403,-148,17.83
